"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"AAST","125","AfAm Religious Traditions","2363","Black Studies","4","11","9","7","2","0","0","0","0","0","0","0","0","0","0","6","Jabir, Johari","39"
"ACTG","326","Cost Accounting","2656","Accounting","33","31","8","1","1","0","0","0","0","0","0","0","0","0","0","0","Jastrzebski, Ronald J","74"
"ACTG","456","Business Law II","2656","Accounting","17","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Marutzky, Eileen","25"
"ACTG","500","Intro Financial Actg","2656","Accounting","10","14","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Thomas, Barbara Ann","26"
"ACTG","585","Corporate Valuation &Actg Info","2656","Accounting","13","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Engel, Ellen","22"
"AH","232","Film History I: 1890-WWII","2492","English","3","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","Rubin, Martin L.","10"
"ARCH","359","Architectural Technology 1","2911","School of Architecture","4","11","12","8","2","0","0","0","1","0","0","0","0","0","0","0","Palider, Ryan","38"
"ART","112","Introduction to Drawing","2583","Art","18","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Nafziger, Meghan","22"
"ART","280","Topics in Color","2583","Art","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Metzger, Matthew John","19"
"ASP","021","Workshop for Precal - LARES","2923","Academic Center for Excellence","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","Mankus, Terrance A","15"
"ASP","095","Academic & Professional Wrtg","2923","Academic Center for Excellence","0","0","0","0","0","0","0","0","0","0","0","0","0","11","1","2","Zenner, Audrey Marsha","14"
"BA","100","Intro to UIC & Prof Dev","2785","Business Administration Admini","0","0","0","0","0","0","0","0","0","0","0","0","0","32","0","1","Nguyen, Tudo","33"
"BA","289","Business Internship Program","2785","Business Administration Admini","0","0","0","0","0","0","0","0","0","0","1","0","0","113","0","0","Anderson, John D","114"
"BCMG","411","Intro to Biochemistry","2509","Biochem & Molecular Genetics","2","18","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Vary, James C","21"
"BHIS","461","Info Systems for HIM","2318","Biomed & Health Info Sciences","10","15","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Patena, Karen R","28"
"BHIS","505","Ethics&Legal Issues/Hlth Info","2318","Biomed & Health Info Sciences","28","7","1","0","0","0","0","0","0","0","0","0","0","0","0","1","Swirsky, Eric S","37"
"BHIS","529","Business Intel & Analytics","2318","Biomed & Health Info Sciences","13","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Isola, Miriam L.","21"
"BIOE","101","Intro to Bioengineering","2437","Biomedical Eng - Engineering","43","22","9","3","9","0","0","0","1","0","0","0","0","0","0","3","Eddington, David Thomas","90"
