"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"AH","208","Topics Modern Arch, Art&Design","2910","Art History","25","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","Grad Asst","29"
"BHIS","499","Info Sources in BHIS","2318","Biomed & Health Info Sciences","62","3","1","0","0","0","0","0","1","0","0","0","0","0","0","2","Dieter, Michael G","69"
"BIOS","222","Cell Biology","2453","Biological Sciences","21","35","39","4","3","0","0","0","1","0","0","0","0","0","0","1","Dubreuil, Ronald R.","104"
"BVIS","430","Surgical Orientation","2318","Biomed & Health Info Sciences","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Daugherty, John M","18"
"CHSC","554","Intl Women's Health","2245","Community Health Sciences","20","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Hasnain, Memoona","21"
"CI","464","Bilingualism and Literacy","2783","Curriculum and Instruction","27","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Trost-Shahata, Elisabeth Caroline","32"
"CI","540","Linguistics for Teachers","2783","Curriculum and Instruction","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Miller, Leah D","22"
"CLJ","200","Law in Society","2909","Criminology, Law, and Justice","7","12","16","6","1","0","0","0","0","0","0","0","0","0","0","4","Matoesian, Greg","46"
"COMM","100","Human Communication","2493","Communication","27","6","4","0","0","0","0","0","0","0","0","0","0","0","0","0","Grad Asst","37"
"COMM","416","Conflict & Communication","2493","Communication","5","7","1","0","1","0","0","0","0","0","0","0","0","0","0","1","Grad Asst","15"
"CS","109","Prog for Engineers w/MatLab","2699","Computer Science","10","16","1","0","6","0","0","0","0","0","0","0","0","0","0","5","Bell, John T","38"
"DBSC","321","Dental Ethics","2628","Pediatric Dentistry","92","2","0","0","6","0","0","0","0","0","0","0","0","0","0","0","Koerber, Anne","100"
"ED","430","Curriculum & Teaching","2208","Education","6","2","1","0","0","0","0","0","1","0","0","0","0","0","0","2","Watkins, William H","12"
"ENDO","352","Endodontics Clinic I","2216","Endodontics","18","81","0","0","0","0","0","0","0","0","1","0","0","0","0","0","Barrows, Michael John","100"
"ENTR","300","Survey of Entrepreneurship","2846","Managerial Studies","27","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Sexton Dorvil, Michele","28"
"FIN","594","Applied Portfolio","2691","Finance","0","0","0","0","0","0","0","0","0","0","40","0","0","0","0","0","Wightkin, John","40"
"FIN","594","Commercial Banking II","2691","Finance","17","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Brown, Mary R","25"
"FIN","594","Fixed Income","2691","Finance","16","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Wang, Hefei","25"
"HIST","104","Amer Civ since 19th Cent","2316","History","10","10","3","1","2","0","0","0","0","0","0","0","0","0","0","4","Grad Asst","30"
"HN","110","Foods","2960","Kinesiology and Nutrition","9","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Staver, Michael J","16"
"HON","222","Honors Activity","2310","Honors College","0","0","0","0","0","0","0","7","0","0","0","0","0","6","0","0","Madia, Janet I","13"
"HPA","446","PH Resource Management","2399","Health Policy & Administration","8","3","1","0","0","0","0","0","0","0","3","0","0","0","0","0","Weingart, Sherry","15"
"HPA","495","MHA Preceptorship","2399","Health Policy & Administration","0","0","0","0","0","0","0","0","17","0","1","0","0","7","0","0","Canna, James J","25"
"IDS","312","Business Project Management","2672","Information/Decision Sciences","7","7","2","0","0","0","0","0","0","0","0","0","0","0","0","1","Manheim, Mary Beth Watson","17"
"IDS","371","Business Statistics II","2672","Information/Decision Sciences","9","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Westland, James Christopher","15"
