"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"ACTG","435","Auditing","2656","Accounting","7","21","9","0","0","0","0","0","0","0","0","0","0","0","0","0","Galvan, Abel","37"
"ARAB","116","Intensive Intermed Arabic","2349","Classics & Mediterran Studies","7","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","Kamal, Mustapha","10"
"BA","289","Business Internship Program","2785","Business Administration Admini","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","Anderson, John D","13"
"BA","589","Corporate Bus Intern Program","2785","Business Administration Admini","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","Anderson, John D","13"
"BHIS","525","Social&Org Issues in Hlth Info","2318","Biomed & Health Info Sciences","8","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Valenta, Annette L","13"
"BIOE","582","Computational Genomics","2437","Biomedical Eng - Engineering","5","5","1","0","0","0","0","0","1","0","0","0","0","0","0","0","Lu, Hui","12"
"BIOS","240","Homeostasis","2453","Biological Sciences","0","0","0","0","0","0","0","0","0","0","35","0","0","0","0","1","Sehtiya, H.L.","36"
"BVIS","400","Clin Sciences for Biomed Vis","2318","Biomed & Health Info Sciences","4","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Barrows, Scott Thorn","12"
"BVIS","545","Computer-based Multimedia","2318","Biomed & Health Info Sciences","10","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Blew, Gregory A","11"
"CHEM","112","General Chemistry I","2458","Chemistry","21","19","22","2","2","0","0","0","0","0","0","0","0","0","0","3","Grad Asst","69"
"CIE","484","Curr & Instruct Middle School","2208","Education","23","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Schultz, Brian David","27"
"CIE","540","Linguistics for Teachers","2208","Education","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Miller, Leah D","14"
"CIE","540","Linguistics for Teachers","2208","Education","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","Razfar, Aria","13"
"COMM","304","Male-Female Communication","2493","Communication","4","12","3","0","0","0","0","0","0","0","0","0","0","0","0","1","Grad Asst","20"
"COMM","330","Mass Media and Pop Cultur","2493","Communication","11","10","0","0","0","0","0","0","0","0","0","0","0","0","0","1","OMMEN, BRETT RICHARD","22"
"CRJ","101","Intro to the Justice System","2909","Criminology, Law, and Justice","10","21","5","2","0","0","0","0","1","0","0","0","0","0","0","3","Grad Asst","42"
"DADM","316","Comprehensive Care II A","2758","Dentistry Administration","76","2","0","0","1","0","0","0","13","0","0","0","0","0","0","1","Lamb, Courtney C","93"
"DADM","332","Comprehensive Care IV-A","2758","Dentistry Administration","49","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Vankanegan, Kevin E","69"
"ECE","225","Circuit Analysis","2949","Electrical & Computer Engr","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Becker, Robert A","10"
"ENGL","241","Eng Lit I","2492","English","12","17","6","0","1","0","0","0","0","0","0","0","0","0","0","0","Grad Asst","36"
"ENTR","594","Fndmtls of Tech Ventures","2846","Managerial Studies","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Shrader, Rodney C","12"
"FIN","300","Intro to Managerial Finance","2691","Finance","31","17","2","0","0","0","0","0","0","0","0","0","0","0","0","2","Taparia, Jay","52"
"FIN","500","Intro to Corp Finance","2691","Finance","23","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Logue, Ann","25"
"FIN","594","Special Topic: Options","2691","Finance","0","0","0","0","0","0","0","0","0","0","29","0","0","0","0","0","Instructor, Courtesy","29"
"GWS","101","Gender in Everyday Life","2369","Gender and Women's Studies","5","9","3","2","0","0","0","0","0","0","0","0","0","0","0","0","Balay, Anne","19"
"HN","110","Foods","2472","Human Nutrition","19","7","1","0","0","0","0","0","0","0","1","0","0","0","0","0","Reynolds, Robert D","28"
"MATH","090","Intermediate Algebra","2610","Math, Statistics, & Comp Scnc","0","0","0","0","0","0","0","0","0","0","0","0","0","16","10","0","Kafka, Calvin C","26"
"MATH","180","Calculus I","2610","Math, Statistics, & Comp Scnc","24","10","6","2","2","0","0","0","0","0","0","0","0","0","0","4","Kobotis, Evangelos","48"
"AAST","100","Intro African-Amer Studies","2363","Black Studies","2","3","5","1","1","0","0","0","0","0","0","0","0","0","0","0","Kornegay, Eddie L","12"
"BIOE","480","Intro to Bioinformatics","2437","Biomedical Eng - Engineering","7","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","Lu, Hui","11"
"BIOS","101","Populations & Communities","2453","Biological Sciences","27","14","6","1","1","0","0","0","0","0","0","0","0","0","0","3","Grad Asst","52"
"CHEM","235","Organic Chemistry Lab II","2458","Chemistry","3","2","4","0","0","0","0","0","0","0","0","0","0","0","0","2","Grad Asst","11"
