"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"AAST","110","Intro Af Amer Lit, 1760-1910","2363","Black Studies","3","10","4","0","0","0","0","0","3","0","0","0","0","0","0","0","Dubey, Madhu","20"
"AAST","201","Psych of African Americans","2363","Black Studies","4","7","0","0","0","0","0","0","2","0","0","0","0","0","0","0","Mock, Lynne","13"
"AAST","229","Africa and its Diasporas","2363","Black Studies","3","6","0","0","0","0","0","0","0","0","0","0","0","0","0","2","Grad Asst","11"
"ACTG","456","Business Law II","2656","Accounting","13","11","8","1","0","0","0","0","0","0","0","0","0","0","0","1","Roe, George","34"
"ACTG","494","Ethics for Business Profession","2656","Accounting","13","5","3","2","0","0","0","0","0","0","0","0","0","0","0","3","Roe, George","26"
"ACTG","506","Management Accounting","2656","Accounting","0","0","0","0","0","0","0","0","0","0","45","0","0","0","0","0","Mashruwala, Raj","45"
"AD","170","Intro-Time-Based Vis Art","2702","School of Art and Design","9","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Stratman, Deborah Renee","15"
"AD","411","Graphic Design Prof Prac","2702","School of Art and Design","6","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Oiga, Sharon","15"
"AD","414","Interactivity in Graphic Desgn","2702","School of Art and Design","7","6","4","0","0","0","0","0","0","0","0","0","0","0","0","0","Young, Caroline C","17"
"AD","510","Adv Graphic Des & Crit","2702","School of Art and Design","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Gaynor, Matthew S.","15"
"AH","100","Intro to Art &Art History","2910","Art History","38","23","9","2","2","0","0","0","0","0","0","0","0","0","0","6","Grad Asst","80"
"AH","200","Theory&Method/Art History","2910","Art History","6","11","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Dubin, Nina","18"
"AH","260","European Art 1750 to 1900","2910","Art History","7","17","6","0","0","0","0","0","0","0","0","0","0","0","0","2","Dubin, Nina","32"
"AH","275","South Asian Visual Cultures","2910","Art History","8","20","8","1","5","0","0","0","0","0","0","0","0","0","0","2","Becker, Catherine","44"
"ANTH","100","Human Adventure","2841","Anthropology","61","60","86","45","28","0","0","0","2","0","0","0","0","0","0","18","Bauer, Brian S","300"
"ANTH","226","North American Archaeology","2841","Anthropology","13","15","7","0","2","0","0","0","0","0","0","0","0","0","0","3","LaMotta, Vincent","40"
"ANTH","227","Anc Civ Mex and Cent Amer","2841","Anthropology","7","6","3","1","0","0","0","0","0","0","0","0","0","0","0","2","Wyatt, Andrew R","19"
"ANTH","278","Brazil: A Multi-Ethnic Society","2841","Anthropology","8","8","2","0","0","0","0","0","4","0","0","0","0","0","0","1","Kracke, Waud H","23"
"BA","100","Business Admin Orientation","2785","Business Administration Admini","0","0","0","0","0","0","0","0","2","0","0","0","0","67","1","1","Downey, Marcia L","71"
"BCMG","599","PhD Thesis Research","2509","Biochem & Molecular Genetics","0","0","0","0","0","0","0","0","0","0","0","0","0","47","0","0","Katzen, Alisa L","47"
"BHIS","405","Med Sci & Humn Pathophysiology","2318","Biomed & Health Info Sciences","5","17","9","0","0","0","0","0","0","0","0","0","0","0","0","1","Patena, Karen R","32"
"BHIS","499","Info Sources in BHIS","2318","Biomed & Health Info Sciences","42","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","Dieter, Michael G","45"
"BHIS","515","Mgmt Hlth Care Comm Syst","2318","Biomed & Health Info Sciences","23","12","1","0","0","0","0","0","0","0","0","0","0","0","0","1","Stevenson, Greer W.P.","37"
