"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"AAST","294","Topics/Afr-Amer Studies","2363","Black Studies","5","10","2","1","1","0","0","0","0","0","0","0","0","0","0","2","Barnes, Natasha B.","21"
"ACTG","494","Special Topics-Actg","2656","Accounting","10","3","2","2","2","0","0","0","0","0","0","0","0","0","0","4","Roe, George","23"
"ACTG","500","Intro Financial Actg","2656","Accounting","0","0","0","0","0","0","0","0","0","0","46","0","0","0","0","0","Chalos, Peter","46"
"ACTG","545","Taxes & Business Policy","2656","Accounting","10","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Leclere, Marc Joseph","11"
"AD","110","Graphic Design I","2702","School of Art and Design","5","6","2","1","0","0","0","0","0","0","0","0","0","0","0","0","Becker, Joerg","14"
"AD","205","Intro Computer Graphics","2702","School of Art and Design","11","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Roeger, Oliver L.","16"
"AD","281","Foundations Of Art Educ","2702","School of Art and Design","9","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Poser, Jessica","13"
"AD","315","Graphic Design V","2702","School of Art and Design","13","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Gaynor, Matthew S.","21"
"AD","322","Interactive Product Design I","2702","School of Art and Design","4","7","9","0","0","0","0","0","1","0","0","0","0","0","0","0","Browning, Drew R","21"
"AD","332","Topics in Painting","2702","School of Art and Design","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Fraser, Pamela","11"
"AD","391","Interdisciplinary Seminar II","2702","School of Art and Design","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","Vanderhyden, Philip Kimmel","13"
"AH","160","Trends in Contemp Art","2910","Art History","16","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Marie, Annika","22"
"AH","231","History of Photography II","2910","Art History","19","15","6","1","1","0","0","0","0","0","0","0","0","0","0","0","Grad Asst","42"
"AH","250","Italian Renaissance Art","2910","Art History","2","16","10","3","2","0","0","0","3","0","0","0","0","0","0","2","Munman, Robert","38"
"ANAT","544","Adv Craniofacial Anatomy","2387","Anatomy and Cell Biology","8","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","Lakars, Thomas C","19"
"ANTH","214","Sex, Gender and Culture","2841","Anthropology","3","2","4","2","0","0","0","0","0","0","1","0","0","0","0","0","Reddy, Gayatri","12"
"ANTH","309","Writing Culture","2841","Anthropology","8","1","1","3","1","0","0","0","0","0","0","0","0","0","0","1","Roosevelt, Anna C","15"
"ANTH","501","Soc and Cult Theory II","2841","Anthropology","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Liechty, Mark F","12"
"ARAB","102","Elementary Arabic II","2349","Classics & Mediterran Studies","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","Kamal, Mustapha","21"
"ARAB","230","Arabic Literature in Tran","2349","Classics & Mediterran Studies","0","0","0","0","0","0","0","0","0","0","36","0","0","0","0","3","Kamal, Mustapha","39"
"ARCH","252","Beg of Modern Arch Theory","2911","School of Architecture","7","16","15","5","1","0","0","0","0","0","1","0","0","0","0","1","Grad Asst","46"
"ARCH","411","Theory & Crit Analysis Arch","2911","School of Architecture","6","8","0","0","0","0","0","0","0","0","1","0","0","0","0","0","Pedret, Annie","15"
"ARCH","442","Arch Bldg Analysis","2911","School of Architecture","3","2","0","0","0","0","0","13","0","0","0","0","0","0","0","0","Rocah, Louis","18"
"ASAM","228","Asia and Asian Americans","2772","Sociology","3","1","2","3","0","0","0","0","0","0","0","0","0","0","0","3","Barrett, Richard E","12"
"ASP","060","Stdy/Lrng Across Disciplines","2923","Academic Center for Excellence","0","0","0","0","0","0","0","0","0","0","0","0","0","15","2","3","Koerner, Patrick","20"
"ASST","275","History of South Asia","2316","History","8","5","0","0","2","0","0","0","0","0","0","0","0","0","0","1","Mantena, Rama","16"
"BA","200","Managerial Communication","2785","Business Administration Admini","22","61","34","3","2","0","0","0","10","0","0","0","0","0","0","2","Kohler, William Russell","134"
"ACTG","475","Database Accounting Systems","2656","Accounting","12","16","1","1","0","0","0","0","0","0","0","0","0","0","0","1","Popowits, Michael T","31"
"ACTG","495","Competitive Strategy","2656","Accounting","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Gordon, Marvin Arthur","36"
"ACTG","500","Intro Financial Actg","2656","Accounting","9","18","4","1","2","0","0","0","0","0","0","0","0","0","0","3","Leventhal, Brian W","37"
"ACTG","500","Intro Financial Actg","2656","Accounting","11","16","8","0","0","0","0","0","0","0","2","0","0","0","0","0","White, Lynn Marie","37"
"AD","203","Topics in Drawing","2702","School of Art and Design","5","1","1","1","1","0","0","0","0","0","0","0","0","0","0","2","Donner, Christa M","11"
"AD","206","Computer Graphics","2702","School of Art and Design","9","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Sauter, Daniel","17"
"AD","251","Seriality and Replication","2702","School of Art and Design","8","8","3","1","0","0","0","0","0","0","0","0","0","0","0","0","Donner, Christa M","20"
"AD","415","Design Colloquium","2702","School of Art and Design","50","5","1","0","0","0","0","0","0","0","1","0","0","0","0","1","Lausen, Marcia E","58"
"AD","502","Seminar In Contemp Theory","2702","School of Art and Design","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","Montgomery, Jennifer","15"
"AH","207","Topics in Arch Art Design","2910","Art History","9","8","10","4","3","0","0","0","1","0","0","0","0","0","0","0","Heer, Sarita Kumari","35"
"AH","209","Near Eastern Archaeology","2349","Classics & Mediterran Studies","18","7","1","1","0","0","0","0","1","0","0","0","0","0","0","3","Tobin, Jennifer L","31"
"ANAT","595","Departmental Seminar","2387","Anatomy and Cell Biology","0","0","0","0","0","0","0","0","1","0","0","0","0","12","0","0","Anderson, Conwell H","13"
"ANTH","221","Old World Archaeology I","2841","Anthropology","2","6","8","2","0","0","0","0","0","0","0","0","0","0","0","2","Keeley, Lawrence H","20"
"ANTH","440","Culture Shock","2841","Anthropology","7","6","1","0","0","0","0","0","1","0","0","0","0","0","0","0","Kracke, Waud H","15"
"ASST","272","China Since 1911","2316","History","2","11","6","0","0","0","0","0","0","0","1","0","0","0","0","1","Hostetler, Laura E","21"
"BA","200","Managerial Communication","2785","Business Administration Admini","7","20","2","0","0","0","0","0","0","0","0","0","0","0","0","1","Corte, Anthony M","30"
"BIOE","432","Bioinstrumentation II","2437","Biomedical Eng - Engineering","9","28","9","2","0","0","0","0","0","0","0","0","0","0","0","3","Rousche, Patrick J","51"
"BIOE","455","Intro to Cell & Tissue Engr","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","22","0","0","0","0","0","McCormick, Susan M","22"
"BIOS","220","Genetics","2453","Biological Sciences","39","55","111","15","22","0","0","0","4","0","1","0","0","0","0","20","Grad Asst","267"
"BIOS","240","Homeostasis","2453","Biological Sciences","36","34","68","20","3","0","0","0","2","0","0","0","0","0","0","9","Logan, Stephen M","172"
"BIOS","485","Neuroscience II","2453","Biological Sciences","10","12","11","1","0","0","0","0","0","0","0","0","0","0","0","2","Wirtshafter, Robert D","36"
"BIOS","490","Topics in Ecology & Evolution","2453","Biological Sciences","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Gonzalez-Meler, Miquel Angel","13"
"BMS","621","Rural Medicine I","2491","Family Medicine","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","urbana, Coutesy instruction","14"
"BPS","365","Survey & Recptor Drug Action","2295","Biopharmaceutical Sciences","33","45","6","0","0","0","0","0","0","0","0","0","0","0","0","0","Plotnikoff, Nicholas P","84"
"BPS","382","Prof Development Seminar II","2295","Biopharmaceutical Sciences","10","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Katz, Norman L","11"
"BVIS","540","Computer Visualization","2318","Biomed & Health Info Sciences","11","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Dixon, Scott Anthony","12"
"CELE","613","Surgical Pathology","2219","Pathology","0","0","0","0","0","13","0","0","0","0","0","2","0","0","0","0","Thomas, Dorian E","15"
"AAST","103","African-Amer Politics&Culture","2363","Black Studies","4","8","2","3","3","0","0","0","1","0","0","0","0","0","0","2","Boyd, Michelle R.","23"
"ACTG","355","Business Law I","2656","Accounting","28","55","19","6","2","0","0","0","0","0","0","0","0","0","0","9","Roe, Helen M","119"
"ACTG","503","Financial Accounting II","2656","Accounting","6","4","15","0","0","0","0","0","1","0","0","0","0","0","0","3","Leventhal, Brian W","29"
"AD","120","Industrial Design I","2702","School of Art and Design","30","9","6","2","0","0","0","0","0","0","0","0","0","0","0","2","Andersen, Michael Anthony","49"
"AD","140","Sculpture I: Beginning","2702","School of Art and Design","16","11","1","0","0","0","0","0","0","0","22","0","0","0","0","1","Grad Asst","51"
"AD","309","Adv 3D Modeling/Animation","2702","School of Art and Design","3","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Raaf, Sabrina Kay","10"
"AD","315","Graphic Design V","2702","School of Art and Design","2","11","1","0","1","0","0","0","0","0","0","0","0","0","0","0","Becker, Joerg","15"
"AD","332","Topics in Painting","2702","School of Art and Design","6","2","0","0","1","0","0","0","0","0","0","0","0","0","0","1","Carswell, Rodney T","10"
"AD","510","Adv Graphic Des & Crit","2702","School of Art and Design","13","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Oiga, Sharon","14"
"AH","205","Roman Art and Archaeology","2349","Classics & Mediterran Studies","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Ros, Karen E","11"
"AH","207","Topics in Arch Art Design","2910","Art History","5","14","5","0","1","0","0","0","2","0","0","0","0","0","0","2","Dubin, Nina","29"
"AH","223","Baroque Architecture","2910","Art History","0","1","0","0","0","0","0","0","0","0","24","0","0","0","0","1","Ford, Suzan Lynn","26"
"ARCH","106","Physical Studies","2911","School of Architecture","10","51","25","6","2","0","0","0","0","0","0","0","0","0","0","2","De Jong, Judith","96"
"ARCH","471","Structures II","2911","School of Architecture","12","22","16","3","3","0","0","0","0","0","0","0","0","0","0","2","Warner, Carrie Leigh","58"
"ARCH","572","Architectural Structures III","2911","School of Architecture","14","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","Bapu, Aparna H","17"
"ARCH","574","Architectural Structures V","2911","School of Architecture","39","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Mojekwu, Eugene Chukwunonso","45"
"ARCH","596","Independent Study Grad","2911","School of Architecture","6","2","0","0","0","0","0","1","0","0","1","0","0","0","0","0","Brown, David P","10"
"ASP","062","Topc Lrng Supprt Instrct","2923","Academic Center for Excellence","0","0","0","0","0","0","0","0","0","0","0","0","0","7","4","0","Crocker, Halie Adelaide","11"
"ASP","096","Independent Study","2923","Academic Center for Excellence","0","0","0","0","0","0","0","0","0","0","0","0","0","9","3","0","Hessian, John J.","12"
"BIOE","431","Bioinstrumentation I Lab","2437","Biomedical Eng - Engineering","15","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Hetling, John R","17"
"BIOE","594","MachLearn&DataMining-Bioinform","2437","Biomedical Eng - Engineering","8","1","0","0","0","0","0","0","2","0","0","0","0","0","0","3","Lu, Hui","14"
"BIOS","230","Ecology and Evolution","2453","Biological Sciences","61","91","57","21","3","0","0","0","1","0","0","0","0","0","0","10","Grad Asst","244"
"BIOS","286","Biology of Brain","2453","Biological Sciences","34","28","58","7","2","0","0","0","1","0","0","0","0","0","0","8","Murphy, Alvin Don","138"
"BIOS","325","Vertebrate Embryology","2453","Biological Sciences","28","44","25","14","2","0","0","0","0","0","1","0","0","0","0","3","Grad Asst","117"
"BIOS","454","Biochemistry II","2453","Biological Sciences","6","4","3","2","2","0","0","0","3","0","0","0","0","0","0","1","Grad Asst","21"
"BIOS","595","Departmental Seminar","2453","Biological Sciences","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","Morrison, Donald A","19"
"BMS","617","Intro to Human Disease II","2761","Administration & Gen Exp","0","0","0","0","0","0","0","0","0","0","0","23","0","103","0","0","urbana, Coutesy instruction","126"
"AAST","206","Interdis Resrch Methods AAST","2363","Black Studies","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","Rockquemore, Kerry Ann","12"
"AAST","306","Black Politics in US","2734","Political Science","1","2","1","2","1","0","0","0","0","0","0","0","0","0","0","3","Boyd, Michelle R.","10"
"ACTG","110","Intro Financial Actg","2656","Accounting","21","69","60","26","29","0","0","0","1","0","0","0","0","0","0","19","Galvan, Abel","225"
"ACTG","111","Intro Managerial Accounting","2656","Accounting","32","44","95","36","17","0","0","0","0","0","0","0","0","0","0","15","Salama, Yehia A.","239"
"ACTG","417","Adv Financial Accounting","2656","Accounting","3","3","5","1","4","0","0","0","0","0","0","0","0","0","0","1","Soffer, Leonard Charles","17"
"ACTG","445","Federal Income Tax I","2656","Accounting","13","18","24","0","0","0","0","0","1","0","0","0","0","0","0","4","Hong, Keejae P","60"
"ACTG","465","Govt & Non-Profit Actg","2656","Accounting","2","7","5","2","0","0","0","0","0","0","0","0","0","0","0","2","Chan, James L","18"
"ACTG","537","Fraud Examination","2656","Accounting","23","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Popowits, Michael T","31"
"AD","160","Photography I","2702","School of Art and Design","0","0","0","0","0","0","0","0","0","0","59","0","0","0","0","3","Grad Asst","62"
"AD","205","Intro Computer Graphics","2702","School of Art and Design","6","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","Tsoupikova, Daria","13"
"AD","223","Drawing for Designers","2702","School of Art and Design","5","7","2","2","4","0","0","0","1","0","0","0","0","0","0","0","Munson, Stephanie","21"
"AD","268","Analog Photography","2702","School of Art and Design","11","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","Huffman, David","14"
"AD","274","Motion Graphics I","2702","School of Art and Design","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","Mattei, Todd","15"
"AD","290","Interdisciplinary Seminar I","2702","School of Art and Design","10","7","5","0","1","0","0","0","0","0","0","0","0","0","0","0","Frid, Dianna","23"
"AD","304","Advanced Topics in Drawing","2702","School of Art and Design","8","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Bramson, Phyllis Mary","10"
"AD","342","Topics in Sculpture","2702","School of Art and Design","11","4","0","0","0","0","0","0","0","0","0","0","0","0","0","2","Peterman, Dan","17"
"AD","371","16mm Film Production II","2702","School of Art and Design","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Russell, Ben","11"
"AD","378","Moving Image II","2702","School of Art and Design","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Russell, Ben","11"
"AD","411","Graphic Design Prof Prac","2702","School of Art and Design","12","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Oiga, Sharon","15"
"AD","423","Industrial Design Thesis","2702","School of Art and Design","2","3","3","0","4","0","0","0","0","0","0","0","0","0","0","0","Munson, Stephanie","12"
"AD","511","Advanced Graphic Design","2702","School of Art and Design","13","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Oiga, Sharon","14"
"AH","261","Art 1900 to Present","2910","Art History","8","9","5","2","0","0","0","0","0","0","0","0","0","0","0","0","Robbins, Christa N","24"
"ASP","062","Topc Lrng Supprt Instrct","2923","Academic Center for Excellence","0","0","0","0","0","0","0","0","1","0","0","0","0","8","1","0","Downs, Cecelia A","10"
"BA","200","Managerial Communication","2785","Business Administration Admini","11","14","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Garza, Alejandra","26"
"BCMG","595","Student Research Seminars","2509","Biochem & Molecular Genetics","0","0","0","0","0","0","0","0","0","0","0","0","0","58","0","0","Moser, Bettina Anita","58"
"BIOE","504","Emerging Medical Tech","2437","Biomedical Eng - Engineering","12","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Layton, Terry N","14"
"BIOE","582","Computational Genomics","2437","Biomedical Eng - Engineering","11","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Dai, Yang","18"
"ACTG","565","Adv Govt & Nonprofit Actg","2656","Accounting","2","7","1","0","0","0","0","0","0","0","1","0","0","0","0","0","Chan, James L","11"
"AD","110","Graphic Design I","2702","School of Art and Design","7","5","2","0","0","0","0","0","0","0","0","0","0","0","0","2","Pabellon, Dave Joseph C.","16"
"AD","170","Intro-Time-Based Vis Art","2702","School of Art and Design","15","11","7","1","0","0","0","0","0","0","32","0","0","0","0","5","Grad Asst","71"
"AD","278","Moving Image I","2702","School of Art and Design","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","Mattei, Todd","14"
"AD","321","Industrial Design V","2702","School of Art and Design","4","8","6","0","0","0","0","0","0","0","0","0","0","0","0","0","Melamed, Stephen","18"
"AD","530","Advanced Studio Arts &Critique","2702","School of Art and Design","16","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Malagrino, Silvia A","18"
"AH","236","History of Design II","2910","Art History","32","25","3","1","4","0","0","0","0","0","0","0","0","0","0","0","Weinberg, Lauren D","65"
"AH","560","Sem in Modern Arch,Art &Design","2910","Art History","7","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Margolin, Victor","11"
"ARCH","366","Building Design Studio IV","2911","School of Architecture","34","46","22","1","0","0","0","0","0","0","0","0","0","0","0","1","Dunn, Sarah E","104"
"ARCH","372","Design and the City","2911","School of Architecture","18","44","38","7","0","0","0","0","1","0","2","0","0","0","0","1","Haar, Sharon H","111"
"ARCH","410","Architectural Thought","2911","School of Architecture","13","11","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Bey, Lee","25"
"ARCH","515","Adv Arch II: Arch Technologies","2911","School of Architecture","16","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Worn, William W","19"
"ASAM","125","Intro Asian Amer Studies","2492","English","14","8","9","1","0","0","0","0","0","0","0","0","0","0","0","6","Su, Karen","38"
"BHIS","510","Health Care Info Systems","2318","Biomed & Health Info Sciences","11","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Pawola, Lawrence M.","15"
"BIOE","430","Bioinstrumentation I","2437","Biomedical Eng - Engineering","0","10","4","0","1","0","0","0","0","0","3","0","0","0","0","1","Hetling, John R","19"
"BIOE","439","Biostatistics II","2437","Biomedical Eng - Engineering","3","6","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Lu, Hui","10"
"BIOE","480","Intro to Bioinformatics","2437","Biomedical Eng - Engineering","11","4","0","0","0","0","0","0","3","0","0","0","0","0","0","0","Lu, Hui","18"
"BIOS","350","General Microbiology","2453","Biological Sciences","47","103","23","4","0","0","0","0","0","0","0","0","0","0","0","3","Grad Asst","180"
"BIOS","350","General Microbiology","2453","Biological Sciences","31","41","17","5","0","0","0","0","0","0","0","0","0","0","0","1","Mohanty, Liza Marie","95"
"BMS","661","Brain and Behavior","2722","Psychiatry","0","0","0","0","0","0","0","0","0","0","1","37","0","162","0","0","Kraus, Donna Marie","200"
"BPS","588","Expert Witness Testimony","2295","Biopharmaceutical Sciences","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Gaensslen, Robert E","17"
"BPS","596","Indep Study Forensic Sci","2295","Biopharmaceutical Sciences","0","0","0","0","0","0","0","1","0","0","0","0","0","9","0","0","Gaensslen, Robert E","10"
"CELE","620","Ptnt Safety & Quality Outcomes","2857","Medical Education","0","0","0","0","0","0","0","0","0","0","1","23","0","0","0","0","Thomas, Dorian E","24"
"CHE","312","Transport Phenomena II","2709","Chemical Engrg","3","5","10","4","3","0","0","0","0","0","0","0","0","0","0","2","Turian, Raffi M","27"
"CHE","382","Chem Engr Lab II","2709","Chemical Engrg","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Funk, Edward W","19"
"CHEM","234","Organic Chemistry II","2458","Chemistry","59","83","102","64","44","0","0","0","1","0","0","0","0","0","0","34","Grad Asst","387"
"CIE","574","Foundations Curriculum Design","2208","Education","7","5","0","0","0","0","0","0","3","0","0","0","0","0","0","0","Schubert, William H","15"
"CL","499","Advanced Independent Study","2349","Classics & Mediterran Studies","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","1","Kamal, Mustapha","13"
"AAST","100","Intro African-Amer Studies","2363","Black Studies","25","60","36","10","7","0","0","0","4","0","0","0","0","0","0","8","Dubey, Madhu","150"
"AAST","248","Afr-Amer Hist since 1877","2363","Black Studies","8","17","2","0","0","0","0","0","0","0","0","0","0","0","0","3","Grad Asst","30"
"ACTG","435","Auditing","2656","Accounting","7","23","9","0","0","0","0","0","0","0","0","0","0","0","0","0","Kemp, Robert E","39"
"ACTG","506","Management Accounting","2656","Accounting","11","15","3","0","0","0","0","0","0","0","1","0","0","0","0","5","Das, Somnath","35"
"AD","110","Graphic Design I","2702","School of Art and Design","0","0","0","0","0","0","0","0","0","0","24","0","0","0","0","1","Grad Asst","25"
"AD","211","Graphic Design III","2702","School of Art and Design","10","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Bracamontes-Roeger, Linda","20"
"AD","211","Graphic Design III","2702","School of Art and Design","20","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Burton, Philip C","21"
