"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"ACTG","465","Govt & Non-Profit Actg","2656","Accounting","11","23","6","1","0","0","0","0","0","0","0","0","0","0","0","4","Galvan, Abel","45"
"ACTG","484","International Accounting","2656","Accounting","37","14","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Hopkins, Debra R","52"
"ACTG","525","Mgmt Control/Strateg Performnc","2656","Accounting","21","16","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Balachandran, Sudhakar V","39"
"ACTG","565","Adv Govt & Nonprofit Actg","2656","Accounting","8","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Kemp, Robert E","18"
"AD","110","Graphic Design I","2702","School of Art and Design","15","8","6","3","3","0","0","0","0","0","0","0","0","0","0","0","Gibbs, Allyson Darcy","35"
"AD","140","Sculpture I: Beginning","2702","School of Art and Design","5","2","3","0","1","0","0","0","0","0","0","0","0","0","0","0","Frid, Dianna","11"
"AD","160","Photography I","2702","School of Art and Design","11","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Geissler, Beate","19"
"AD","221","Industrial Design III","2702","School of Art and Design","9","7","3","1","3","0","0","0","0","0","0","0","0","0","0","0","Wilkens, Kimberlee Marie","23"
"AD","230","Painting I","2702","School of Art and Design","12","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Fischer, Andreas W","13"
"AD","322","Interactive Product Design I","2702","School of Art and Design","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","O'Keefe, Thomas Joseph","13"
"AD","421","Interdis Product Develpment II","2702","School of Art and Design","10","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Shine, James Vincent","11"
"AD","424","Indust Design Indep Study","2702","School of Art and Design","13","23","5","0","0","0","0","0","0","0","0","0","0","0","0","1","Katz, Sabrina L","42"
"AD","502","Seminar In Contemp Theory","2702","School of Art and Design","16","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Malagrino, Silvia A","19"
"AH","511","Toward New Hist/Art,1960-Prsnt","2910","Art History","11","4","0","0","0","0","0","0","0","0","0","0","0","0","0","3","Stimson, Blake","18"
"ANAT","414","Neuroanatomy Allied Hlth","2387","Anatomy and Cell Biology","16","33","1","0","0","0","0","0","1","0","0","0","0","0","0","0","Anderson, Conwell H","51"
