"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"ACTG","326","Cost Accounting","2656","Accounting","3","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Maksy, Mostafa","10"
"BA","299","CBA Study Abroad","2785","Business Administration Admini","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","Prazza, Angela J","21"
"BA","420","Professional Presence","2785","Business Administration Admini","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Popowits, Michael T","10"
"BCMG","599","PhD Thesis Research","2509","Biochem & Molecular Genetics","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","Katzen, Alisa L","21"
"BHIS","437","Health Care Data","2318","Biomed & Health Info Sciences","10","6","5","0","1","0","0","0","0","0","0","0","0","0","0","3","Orzechowski, John Stanley","25"
"BIOS","222","Cell Biology","2453","Biological Sciences","2","4","3","1","1","0","0","0","0","0","0","0","0","0","0","0","Linn, Stephen Carl","11"
"BIOS","350","General Microbiology","2453","Biological Sciences","5","3","12","4","2","0","0","0","0","0","0","0","0","0","0","3","Gibbons, Sandra Helen","29"
"CELE","603","Dermatology","2732","Dermatology","0","0","0","0","0","2","0","0","0","0","1","10","0","0","0","0","Bain, Michelle B","13"
"CHEM","232","Organic Chemistry I","2458","Chemistry","14","6","22","8","6","0","0","0","1","0","0","0","0","0","0","3","Yermolina, Maria V","60"
"CLER","605","Medicine","2586","Medicine","0","0","0","0","0","0","0","0","0","0","32","0","0","0","0","0","Khan, Asra R","32"
"CLER","620","Medicine","2554","Internal Medicine","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","Fischer, Jacqueline L","14"
"CLER","631","Obstetrics and Gynecology","2677","Obstetrics & Gynecology","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","Thomas, Dorian E","17"
"CLER","634","Surgery","2285","Surg/Surgical Specialties","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","Thomas, Dorian E","11"
"CME","203","Strength Of Materials","2737","Civil, Matls & Env Engineering","3","5","4","5","0","0","0","0","0","0","0","0","0","0","0","1","Ataei, Hossein","18"
"CS","251","Data Structures","2699","Computer Science","8","8","10","3","2","0","0","0","0","0","0","0","0","0","0","6","Lillis, John P","37"
"CS","599","PhD Thesis Research","2699","Computer Science","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","Yu, Philip S","10"
"DAOB","302","Applied Oral & Behav Sci","2758","Dentistry Administration","26","19","0","0","0","0","0","5","0","0","0","0","0","0","0","0","Semprum-Clavier, Adriana","50"
"DOST","331","Oral/Systemc Topcs in Dent I","2758","Dentistry Administration","45","22","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Kawar, Nadia","68"
"ED","445","Adolescence & Schools","2208","Education","20","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Grad Asst","22"
"ENGL","159","Academic Writing Workshop","2492","English","0","0","0","0","0","0","0","0","0","0","0","0","0","16","7","1","Bonarek, Rebecca L","24"
"HIM","320","Technical Affiliation","2318","Biomed & Health Info Sciences","8","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Ramirez, Gideon","11"
"HIST","101","Western Civ Since 1648","2316","History","14","20","9","2","7","0","0","0","1","0","0","0","0","0","0","2","Abbott, John","55"
"HN","202","Culture and Food","2960","Kinesiology and Nutrition","8","7","3","0","0","0","0","0","0","0","0","0","0","0","0","2","Wadhwa, Meenakshi","20"
"IDS","594","Analytics Apps Using R","2672","Information/Decision Sciences","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mourad, Houssam","12"
"MATH","417","Complex Analysis","2610","Math, Statistics, & Comp Scnc","2","3","2","4","2","0","0","0","0","0","0","0","0","0","0","0","Shulman, Andrew M","13"
"MGMT","460","Bus, Society & Global Economy","2846","Managerial Studies","17","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Lloyd, Anna K","21"
"NUEL","594","Special Topics: Advanced","2591","Nursing Administration","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Yingling, Charles","10"
"NURS","516","EBP 2","2462","Biobehavioral Nursing Science","60","3","0","0","0","0","0","0","2","0","0","0","0","0","0","0","Reese, Cynthia Elliott","65"
"ACTG","315","Intermediate Financial Actg I","2656","Accounting","4","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Galvan, Abel","14"
"ACTG","355","Business Law I","2656","Accounting","22","3","1","0","2","0","0","0","0","0","0","0","0","0","0","1","Lum, Jason Kai Ming","29"
"ANTH","102","Intro to Archaeology","2841","Anthropology","12","10","1","2","0","0","0","0","0","0","0","0","0","0","0","0","LaMotta, Vincent","25"
"ASP","034","Live, Learn, Grow: Bridge","2923","Academic Center for Excellence","0","0","0","0","0","0","0","0","0","0","0","0","0","16","3","0","Carson, Jordan Marie","19"
"BHIS","499","Info Sources in BHIS","2318","Biomed & Health Info Sciences","29","13","4","0","0","0","0","0","0","0","0","0","0","0","0","1","Mills, Laura Lynn","47"
"BIOS","331","Ecology Laboratory","2453","Biological Sciences","4","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","Ale, Som Bahadur","10"
"CELE","604","Emergency  Medicine","2498","Emergency Medicine","0","0","0","0","0","1","0","0","0","0","5","4","0","0","0","0","Gehm, Lisa","10"
"CHEM","101","Preparatory Chemistry","2458","Chemistry","2","7","4","3","0","0","0","0","0","0","0","0","0","0","0","0","Schroeder, Lianne E","16"
"CHSC","423","Community Health 3","2245","Community Health Sciences","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Shapiro-Berkson, Stephanie B","21"
"CLER","601","Obstetrics and Gynecology","2225","Obstetrics & Gynecology","0","0","0","0","0","8","0","0","0","0","58","10","1","0","0","0","Baron-Kuhn, Elizabeth A","77"
"CLER","604","Surgery","2271","Surgery","0","0","0","0","0","0","0","0","0","0","33","0","0","0","0","0","Bartholomew, Amelia M","33"
"CLER","612","Medicine Sub-Internship","2586","Medicine","0","0","0","0","0","0","0","0","0","0","40","0","0","0","0","0","Khan, Asra R","40"
"CLER","621","Family Practice","2254","Family and Community Medicine","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","Grad Asst","16"
"CLER","635","Medicine","2532","Med & Medical Specialties","0","0","0","0","0","1","0","0","0","0","10","1","0","0","0","0","Thomas, Dorian E","12"
"COMM","103","Intro to Media","2493","Communication","6","13","18","6","6","0","0","0","1","0","0","0","0","0","0","5","Lind, Rebecca Ann","55"
"DHD","562","Built-In Accessibility Options","2871","Disability & Human Development","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","Hooyenga, Kathy A","10"
"ECE","225","Circuit Analysis","2949","Electrical & Computer Engr","10","4","1","1","0","0","0","0","0","0","0","0","0","0","0","1","Yang, Zheng","17"
"EDPS","544","Research Design in EDPS","2835","Educational Policy Studies","10","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","Sima, Celina","13"
"ENGL","160","Academic Writing I","2492","English","4","3","0","1","2","0","0","0","0","0","0","0","0","0","0","1","Grad Asst","11"
"ENGR","289","Cooperative Engr Practice","2284","Engineering Admin","0","0","0","0","0","0","0","0","0","0","0","0","0","145","0","0","Coppola-Conroy, Rosemarie","145"
"EPID","591","Current Epid Literature","2891","Epidemiology and Biostatistics","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","Olshansky, Stuart Jay","15"
"FIN","302","Introduction to Investments","2691","Finance","12","5","4","0","2","0","0","0","0","0","0","0","0","0","0","3","Waite, Stanley","26"
"FIN","594","Investments","2691","Finance","27","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Ma, Lingjie","28"
"GER","217","Intro German Cinema","2291","Germanic Studies","12","8","5","1","3","0","0","0","0","0","0","0","0","0","0","0","Grad Asst","29"
"HIM","486","Foundations of HIM","2318","Biomed & Health Info Sciences","10","8","2","0","2","0","0","0","0","0","0","0","0","0","0","2","Hitchcock, Lois Marie","24"
"HON","222","Honors Activity","2310","Honors College","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","McCloud, Stacie L","20"
"IDS","270","Business Statistics I","2672","Information/Decision Sciences","18","12","1","1","1","0","0","0","0","0","0","0","0","0","0","0","Sclove, Stanley L","33"
"IDS","532","Intro to Operations Mgmt","2672","Information/Decision Sciences","12","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","Ozdogru, Unsal","28"
"ACTG","210","Intro Financial Accounting","2656","Accounting","4","8","10","1","2","0","0","0","0","0","0","0","0","0","0","2","Salama, Yehia A.","27"
"ACTG","474","Actg Information Systems","2656","Accounting","5","5","2","0","0","0","0","0","0","0","0","0","0","0","0","1","Jastrzebski, Ronald J","13"
"ACTG","500","Intro Financial Actg","2656","Accounting","13","20","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Goodman, Charles Joseph","34"
"BIOS","100","Biol of Cells & Organisms","2453","Biological Sciences","33","16","9","0","1","0","0","0","0","0","0","0","0","0","0","4","Muller, Michael T","63"
"BIOS","101","Populations & Communities","2453","Biological Sciences","8","6","9","0","0","0","0","0","0","0","0","0","0","0","0","1","Molumby, Alan J","24"
"BVIS","520","Modeling II","2318","Biomed & Health Info Sciences","18","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Lebowicz, Leah Amanda","21"
"CC","050","TIE Listening &Speak Noncredit","2501","Vice Chanc for Academic Affair","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","Michalski, Mary F.","30"
"CHEM","222","Analytical Chemistry","2458","Chemistry","5","12","2","2","0","0","0","0","0","0","0","0","0","0","0","0","Shippy, Scott A.","21"
"CI","464","Bilingualism and Literacy","2783","Curriculum and Instruction","14","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Grad Asst","15"
"CI","504","Secondary Literacy","2783","Curriculum and Instruction","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Taylor, Kara M","10"
"CLER","602","Psychiatry","2722","Psychiatry","0","0","0","0","0","3","0","0","0","0","52","21","0","0","0","0","Thomas, Dorian E","76"
"CLER","633","Pediatrics","2339","Pediatrics","0","0","0","0","0","2","0","0","0","0","15","1","0","0","0","0","Thomas, Dorian E","18"
"COMM","474","Internship","2493","Communication","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bui, Diem-My Thi","10"
"CS","301","Languages and Automata","2699","Computer Science","3","6","5","2","1","0","0","0","0","0","0","0","0","0","0","5","Grad Asst","22"
"DAOB","331","Applied Oral and Behav Sci VI","2758","Dentistry Administration","22","5","0","0","0","0","0","41","0","0","0","0","0","0","0","0","Bryniarski, James Henry","68"
"DHD","567","AAC Autism Spectrum Disorder","2871","Disability & Human Development","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Politano, Patricia","20"
